Episode No.,Date Played,Show Title,Artist,Title,Year,Suggested By 1,Suggested By 2,Suggested By 3,Notes
1,2024-05-06,Hello / Beginnings,Martin Solveig & Dragonette,Hello,,,,,
1,2024-05-06,Hello / Beginnings,The Beloved,Hello,,,,,
1,2024-05-06,Hello / Beginnings,Everclear,I Will Buy You A New Life,,@daveybot@mastodon.scot,,,
1,2024-05-06,Hello / Beginnings,Dua Lipa,New Rules (Initial Talk ‘80s Remix),,,,,
1,2024-05-06,Hello / Beginnings,Patti Labelle,New Attitude,,,,,
1,2024-05-06,Hello / Beginnings,Public Enemy,Welcome To The Terrordome,,@daveybot@mastodon.scot,,,
1,2024-05-06,Hello / Beginnings,Justice, New Lands,,,,,
1,2024-05-06,Hello / Beginnings,Kyuss,(Beginning of What’s About to Happen) HWY 74,,,,,
1,2024-05-06,Hello / Beginnings,Taylor Swift, Change (Taylor’s Version),,,,,
1,2024-05-06,Hello / Beginnings,Plain White T’s,Hey There Delilah,,,,,
1,2024-05-06,Hello / Beginnings,Jason Mraz,"Hello, You Beautiful Thing",,,,,
1,2024-05-06,Hello / Beginnings,The Wonder Stuff,Welcome To The Cheap Seats,,@witewulf@cyberplace.social,,,
1,2024-05-06,Hello / Beginnings,Strapping Young Lad,All Hail The New Flesh,,,,,
1,2024-05-06,Hello / Beginnings,Finch,New Beginnings,,,,,
1,2024-05-06,Hello / Beginnings,The Wildhearts,Greetings From Shitsville,,@witewulf@cyberplace.social,,,
1,2024-05-06,Hello / Beginnings,Deftones,Change (In The House of Flies),,,,,
1,2024-05-06,Hello / Beginnings,The Bouncing Souls,New Day,,,,,
1,2024-05-06,Hello / Beginnings,Rolling Stones,Sympathy For The Devil,,,,,
1,2024-05-06,Hello / Beginnings,Moby,New Dawn Fades,,,,,
1,2024-05-06,Hello / Beginnings,Pulp,Something Changed,,@swisslet@mas.to,,,
1,2024-05-06,Hello / Beginnings,Bright Eyes,First Day of My Life,,,,,
1,2024-05-06,Hello / Beginnings,Van Morrison,Brand New Day,,,,,
1,2024-05-06,Hello / Beginnings,Jambinai,Connection,,@beardyfoxy,,,
,,,,,,,,,
